"commit","subject","status","files"
"425419248bca4eb139b2a00f8af19b06d4bb661f","Strictly Prefer","needs-review","build.gradle"
"31067e54fb5945e89399f32ff060dd1a8afe4da0","Strictly Prefer II","needs-review","build.gradle"
"5d55d39e798e5a6871de89373fb6bb24a15f9e7d","Streaming Trains","needs-review","src/main/java/com/simibubi/create/content/trains/GlobalRailwayManager.java"
"1c6049d03b930de154485c4ee42c94e58f586770","To stack or to not stack","needs-review","src/main/java/com/simibubi/create/content/logistics/stockTicker/StockKeeperRequestScreen.java"
"628c0a582a036fb21d5f35f9926f50b50e0ecec5","NeoForge Update JSON URL","needs-review","src/main/templates/META-INF/neoforge.mods.toml"
"6f2857db2112b7a61b15ef361b0faec239013f81","Foody Doughs","needs-review","gradle.properties;src/main/java/com/simibubi/create/AllItems.java;src/main/java/com/simibubi/create/AllTags.java;src/main/java/com/simibubi/create/infrastructure/data/TagLangGenerator.java"
"a7a32fd079dd04f373628b04dea68199db67ca9c","Foody Doughs II","needs-review","src/main/java/com/simibubi/create/foundation/data/recipe/CreateStandardRecipeGen.java;src/main/java/com/simibubi/create/infrastructure/data/TagLangGenerator.java"
"c9aad24de01ecd668a43e30a3227edd2cf4014b8","Update Changelog","needs-review","changelog.md"
"4370ba7f755f7fd5fdf5e50406c95440029b3c4c","New Crowdin translations by GitHub Action (#9927)","needs-review","src/main/resources/assets/create/lang/af_za.json;src/main/resources/assets/create/lang/ar_sa.json;src/main/resources/assets/create/lang/be_by.json;src/main/resources/assets/create/lang/bel_tr.json;src/main/resources/assets/create/lang/bg_bg.json;src/main/resources/assets/create/lang/cs_cz.json;src/main/resources/assets/create/lang/da_dk.json;src/main/resources/assets/create/lang/de_de.json;src/main/resources/assets/create/lang/en_gb.json;src/main/resources/assets/create/lang/en_pt.json;src/main/resources/assets/create/lang/es_cl.json;src/main/resources/assets/create/lang/es_es.json;src/main/resources/assets/create/lang/es_mx.json;src/main/resources/assets/create/lang/et_ee.json;src/main/resources/assets/create/lang/fi_fi.json;src/main/resources/assets/create/lang/fr_ca.json;src/main/resources/assets/create/lang/fr_fr.json;src/main/resources/assets/create/lang/he_il.json;src/main/resources/assets/create/lang/hr_hr.json;src/main/resources/assets/create/lang/hu_hu.json;src/main/resources/assets/create/lang/id_id.json;src/main/resources/assets/create/lang/it_it.json;src/main/resources/assets/create/lang/ja_jp.json;src/main/resources/assets/create/lang/ko_kr.json;src/main/resources/assets/create/lang/lol_us.json;src/main/resources/assets/create/lang/lzh.json;src/main/resources/assets/create/lang/nl_nl.json;src/main/resources/assets/create/lang/no_no.json;src/main/resources/assets/create/lang/pl_pl.json;src/main/resources/assets/create/lang/pt_br.json;src/main/resources/assets/create/lang/pt_pt.json;src/main/resources/assets/create/lang/qep.json;src/main/resources/assets/create/lang/ro_ro.json;src/main/resources/assets/create/lang/rpr.json;src/main/resources/assets/create/lang/ru_ru.json;src/main/resources/assets/create/lang/sv_se.json;src/main/resources/assets/create/lang/th_th.json;src/main/resources/assets/create/lang/tok.json;src/main/resources/assets/create/lang/tr_tr.json;src/main/resources/assets/create/lang/uk_ua.json;src/main/resources/assets/create/lang/vi_vn.json;src/main/resources/assets/create/lang/zh_cn.json;src/main/resources/assets/create/lang/zh_tw.json"
"182998bada7d3a0be53566eed8717906fb56a0f2","Fix Mechanical Mixer animation (#9921)","needs-review","src/main/java/com/simibubi/create/content/kinetics/mixer/MechanicalMixerBlockEntity.java"
